,ID,first_name,last_name,gender,birth,party,profession,education
990,520,Maja,Torp,F,1973-04-05T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
991,310,Kenneth,Kirkeby,M,1988-07-30T00:00:00,I,Leder,Bachelor-/diplomuddannelse
992,717,Dennis,Flydtkjær,M,1978-03-13T00:00:00,Æ,Folketingsmedlem,Erhvervsuddannelse
993,302,Henrik,Thomsen,M,1972-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
994,210,Carolina Magdalene,Maier,F,1973-11-28T00:00:00,B,Leder,Kandidat-/masteruddannelse
995,58,Helle,Jønch,F,1972-02-19T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
996,763,Kim,Aas,M,1970-06-15T00:00:00,A,Offentligt ansat,Bachelor-/diplomuddannelse
997,108,Hanne,Bjørn,F,1972-03-25T00:00:00,C,Privat ansat/selvstændig,Erhvervsuddannelse
998,605,Louise,Davidsen,F,1979-07-12T00:00:00,M,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
999,193,Sysser,Nørholm,F,1964-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
1000,866,Jesper Yde,Knudsen,M,1962-04-29T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
1001,642,Lene,Baggesø,F,1970-10-26T00:00:00,O,Privat ansat/selvstændig,Grundskole
1002,785,Thomas,Monberg,M,1976-04-19T00:00:00,A,Offentligt ansat,Erhvervsuddannelse
1003,423,Karsten,Filsø,M,1959-09-07T00:00:00,F,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
1004,863,Laura,Kofod,F,1988-09-12T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
1005,899,Selma,Bolø,F,1998-05-17T00:00:00,Ø,Studerende,Bachelor-/diplomuddannelse
1006,244,Maria Katarina,Nielsen,F,1995-11-04T00:00:00,B,Studerende,Kandidat-/masteruddannelse
1007,324,Morten Kolbe,Thomsen,M,2001-07-06T00:00:00,I,Studerende,Bachelor-/diplomuddannelse
1008,808,Lea,Wermelin,F,1985-05-10T00:00:00,A,Folketingsmedlem,Kandidat-/masteruddannelse
1009,444,Kim,Christiansen,M,1956-09-14T00:00:00,O,Privat ansat/selvstændig,Erhvervsuddannelse
1010,297,Frederik,Grünfeld,M,1996-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
1011,641,Laura,Guldager,F,2001-05-09T00:00:00,O,Studerende,Bachelor-/diplomuddannelse
1012,575,Tina Lund,Sørensen,F,1981-06-19T00:00:00,V,Offentligt ansat,Ikke oplyst
1013,1092,Peder Holk,Svendsen,M,1972-03-05T00:00:00,F,Privat ansat/selvstændig,Kandidat-/masteruddannelse
