,ID,first_name,last_name,gender,birth,party,profession,education
396,545-chris-borup-preuss,Chris Borup,Preuss,M,1992-08-22T00:00:00,V,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
397,517-ricki-vejsmose,Ricki,Vejsmose,M,1975-06-20T00:00:00,V,Privat ansat/selvstændig,Ikke oplyst
398,29-ole-michael-dupont,Ole Dupont,Kofod,M,1971-09-02T00:00:00,Å,Privat ansat/selvstændig,Kandidat-/masteruddannelse
399,65-tina-cartey-hansen,Tina Cartey,Hansen,F,1978-06-07T00:00:00,C,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
400,1022-ali-khatib,Ali,Khatib,M,1995-01-28T00:00:00,Q,Studerende,Kandidat-/masteruddannelse
401,174-rebecha-foged,Rebecha,Foged,F,1964-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
402,271-pelle-dragsted,Pelle,Dragsted,M,1975-04-13T00:00:00,Ø,Ikke oplyst,Ikke oplyst
403,1115-karen-predbjoern-klarbaek,Karen Predbjørn,Klarbæk,F,1967-01-01T00:00:00,,Ikke oplyst,Ikke oplyst
404,305-helena-artmann-andresen,Helena Artmann,Andresen,F,2001-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
405,752-camilla-fabricius,Camilla,Fabricius,F,1971-10-20T00:00:00,A,Folketingsmedlem,Seminaruddannelse
406,908-birgit-jakobsen,Birgit,Jakobsen,F,1964-10-09T00:00:00,K,Offentligt ansat,Bachelor-/diplomuddannelse
407,496-lars-chr-lilleholt,Lars Chr.,Lilleholt,M,1965-03-02T00:00:00,V,Folketingsmedlem,Bachelor-/diplomuddannelse
408,565-thomas-danielsen,Thomas,Danielsen,M,1983-06-24T00:00:00,V,Folketingsmedlem,Erhvervsuddannelse
409,152-karsten-skov-petersen,Karsten Skov,Petersen,M,1956-04-05T00:00:00,C,Offentligt ansat,Erhvervsuddannelse
410,587-erick-thurmer,Erick,Thürmer,M,1977-09-29T00:00:00,M,Privat ansat/selvstændig,Gymnasial uddannelse
411,767-maria-louise-mehnke,Louise,Mehnke,F,1976-10-01T00:00:00,A,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
412,98-henrik-soerensen,Henrik,Sørensen,M,1966-02-23T00:00:00,C,Offentligt ansat,Kandidat-/masteruddannelse
413,351-solbjoerg-jakobsen,Sólbjørg,Jakobsen,F,1991-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
414,839-martin-bech,Martin,Bech,M,1990-07-27T00:00:00,I,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
415,490-peter-juel-jensen,Peter,Juel-Jensen,M,1966-05-18T00:00:00,V,Folketingsmedlem,Bachelor-/diplomuddannelse
416,109-mette-jensen,Mette,Jensen,F,1968-01-25T00:00:00,C,Privat ansat/selvstændig,Erhvervsuddannelse
417,1028-per-olsen,Per,Olsen,M,1975-01-23T00:00:00,D,Privat ansat/selvstændig,Erhvervsuddannelse
418,602-lars-loekke-rasmussen,Lars Løkke,Rasmussen,M,1964-01-01T00:00:00,M,Ikke oplyst,Ikke oplyst
419,931-ester-esmarch,Ester,Esmarch,F,1974-12-31T00:00:00,K,Offentligt ansat,Bachelor-/diplomuddannelse
420,48-nicklas-hakmann-petersen,Nicklas,Hakmann,M,1997-03-16T00:00:00,Å,Ordfører for et parti,Seminaruddannelse
421,1089-rene-bredal,René,Bredal,M,1961-06-03T00:00:00,V,Offentligt ansat,Bachelor-/diplomuddannelse
422,110-mia-tang,Mia,Tang,F,1972-03-14T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
423,901-mathias-christiansen,Mathias,Christiansen,M,1980-01-01T00:00:00,Ø,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
424,1069-erling-praestekjaer,Erling,Præstekjær,M,1967-12-08T00:00:00,O,Privat ansat/selvstændig,Grundskole
425,462-rene-christensen,René,Christensen,M,1970-10-31T00:00:00,O,Folketingsmedlem,Erhvervsuddannelse
426,79-claus-dyremose,Claus,Dyremose,M,1970-04-26T00:00:00,C,Byråds- eller regionsrådsmedlem,Bachelor-/diplomuddannelse
427,648-nana-harring,Nana,Harring,F,1998-05-30T00:00:00,O,Offentligt ansat,Bachelor-/diplomuddannelse
